STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT16,WT18,WT21,WV01
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-08,,0.31,0,0,78,54,38,1,,1,,,,,1,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-09,,0.55,0,0,63,48,33.3,1,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-10,,0.01,0,0,61,55,21.9,,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-11,,0,0,0,66,48,23,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-12,,0,0,0,72,49,20.8,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-13,,0,0,0,70,51,16.1,1,,,,,,,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-14,,0,0,0,72,52,12.8,,,,,,,,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-15,,0.01,0,0,81,66,30,,,,,,,,1,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-16,,0,0,0,71,60,24.2,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-17,,0,0,0,71,58,16.1,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-18,,0,0,0,68,58,20.8,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-19,,0,0,0,70,58,17.2,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-20,,0,0,0,73,60,40.3,,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-21,,0,0,0,81,61,28.9,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-22,,0,0,0,78,61,20.8,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-23,,0,0,0,83,64,24.2,,,,,,,,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-24,,0,0,0,81,67,24.2,,,,,,,,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-25,,0,0,0,86,66,25.3,1,,,,,,,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-26,,0,0,0,80,63,17.2,1,1,,,,,,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-27,,0,0,0,95,66,24.2,1,1,,,,,,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-28,,0,0,0,76,66,24.2,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-29,,1.13,0,0,78,66,28.9,1,,1,,,,,1,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-06-30,,0.14,0,0,83,64,32.2,,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-07-01,,0,0,0,77,66,25.3,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-07-02,,0.01,0,0,77,67,25.3,1,,,,,,,1,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-07-03,,0,0,0,75,70,18.3,1,,,,,,,1,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-07-04,,0,0,0,85,70,18.3,1,,,,,,,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-07-05,,1.57,0,0,80,69,35.6,1,1,1,,,,,1,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-07-06,,0,0,0,81,70,33.3,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-07-07,,0,0,0,82,64,23,,,,,,,,,,,,,,,,
